# x,y,z
2044.437,3713.196,-5314.186
1982.985,3753.173,-5309.415
1921.341,3792.766,-5303.969
1859.511,3831.969,-5297.851
1797.503,3870.778,-5291.061
1735.324,3909.189,-5283.599
1672.981,3947.195,-5275.467
1610.482,3984.794,-5266.665
1547.834,4021.980,-5257.195
1485.044,4058.750,-5247.058
1422.119,4095.097,-5236.255
1359.067,4131.019,-5224.788
1295.896,4166.511,-5212.658
1232.612,4201.568,-5199.866
1169.222,4236.187,-5186.414
1105.735,4270.363,-5172.304
1042.157,4304.091,-5157.538
978.495,4337.368,-5142.117
914.759,4370.190,-5126.044
850.954,4402.552,-5109.320
787.089,4434.451,-5091.948
723.170,4465.882,-5073.930
659.205,4496.842,-5055.268
595.202,4527.326,-5035.965
531.168,4557.332,-5016.023
467.111,4586.855,-4995.444
403.037,4615.891,-4974.232
338.954,4644.438,-4952.389
274.870,4672.490,-4929.917
210.792,4700.046,-4906.820
146.726,4727.100,-4883.100
82.682,4753.651,-4858.761
18.665,4779.694,-4833.805
-45.317,4805.226,-4808.236
-109.257,4830.244,-4782.057
-173.146,4854.745,-4755.271
-236.979,4878.725,-4727.882
-300.747,4902.182,-4699.893
-364.443,4925.112,-4671.307
-428.061,4947.512,-4642.129
-491.593,4969.380,-4612.361
-555.031,4990.712,-4582.009
-618.368,5011.505,-4551.075
-681.597,5031.758,-4519.563
-744.712,5051.466,-4487.477
-807.704,5070.628,-4454.822
-870.567,5089.240,-4421.602
-933.294,5107.301,-4387.820
-995.876,5124.807,-4353.481
-1058.308,5141.757,-4318.590
-1120.581,5158.147,-4283.151
-1182.690,5173.976,-4247.169
-1244.626,5189.241,-4210.647
-1306.383,5203.941,-4173.592
-1367.953,5218.072,-4136.006
-1429.331,5231.634,-4097.897
-1490.508,5244.623,-4059.267
-1551.479,5257.039,-4020.122
-1612.235,5268.878,-3980.466
-1672.771,5280.140,-3940.306
-1733.080,5290.822,-3899.646
-1793.154,5300.924,-3858.491
-1852.988,5310.442,-3816.846
-1912.573,5319.376,-3774.717
-1971.905,5327.724,-3732.108
-2030.976,5335.485,-3689.026
-2089.779,5342.658,-3645.476
-2148.308,5349.240,-3601.463
-2206.556,5355.231,-3556.992
-2264.518,5360.630,-3512.070
-2322.186,5365.435,-3466.703
-2379.553,5369.646,-3420.895
-2436.615,5373.261,-3374.652
-2493.363,5376.279,-3327.982
-2549.793,5378.700,-3280.888
-2605.898,5380.523,-3233.377
-2661.671,5381.746,-3185.456
-2717.106,5382.370,-3137.130
-2772.198,5382.394,-3088.406
-2826.939,5381.817,-3039.289
-2881.323,5380.639,-2989.787
-2935.346,5378.860,-2939.906
-2989.000,5376.478,-2889.651
-3042.280,5373.495,-2839.030
-3095.180,5369.910,-2788.048
-3147.694,5365.722,-2736.713
-3199.816,5360.932,-2685.030
-3251.541,5355.539,-2633.007
-3302.862,5349.545,-2580.649
-3353.775,5342.948,-2527.964
-3404.274,5335.749,-2474.958
-3454.353,5327.949,-2421.637
-3504.007,5319.547,-2368.010
-3553.231,5310.545,-2314.081
